zip,zip_prefix,city
75201,,Dallas
75202,,Dallas
75204,,Dallas
75205,,Dallas
75206,,Dallas
75209,,Dallas
75214,,Dallas
75217,,Dallas
75218,,Dallas
75219,,Dallas
75223,,Dallas
75225,,Dallas
75227,,Dallas
75228,,Dallas
75229,,Dallas
75230,,Dallas
75231,,Dallas
75235,,Dallas
75238,,Dallas
75243,,Dallas
75246,,Dallas
77002,,Houston
77005,,Houston
77006,,Houston
77007,,Houston
77008,,Houston
77011,,Houston
77012,,Houston
77016,,Houston
77018,,Houston
77019,,Houston
77020,,Houston
77021,,Houston
77022,,Houston
77023,,Houston
77026,,Houston
77027,,Houston
77028,,Houston
77029,,Houston
77030,,Houston
77051,,Houston
77061,,Houston
77076,,Houston
77087,,Houston
77093,,Houston
77098,,Houston
78201,,San Antonio
78205,,San Antonio
78207,,San Antonio
78209,,San Antonio
78211,,San Antonio
78212,,San Antonio
78213,,San Antonio
78214,,San Antonio
78215,,San Antonio
78216,,San Antonio
78217,,San Antonio
78218,,San Antonio
78221,,San Antonio
78223,,San Antonio
78225,,San Antonio
78226,,San Antonio
78228,,San Antonio
78229,,San Antonio
78230,,San Antonio
78232,,San Antonio
78238,,San Antonio
78240,,San Antonio
78242,,San Antonio
78249,,San Antonio
78251,,San Antonio
78702,,Austin
78703,,Austin
78704,,Austin
78705,,Austin
78721,,Austin
78722,,Austin
78723,,Austin
78724,,Austin
78741,,Austin
78744,,Austin
78745,,Austin
78748,,Austin
78749,,Austin
78751,,Austin
78752,,Austin
78753,,Austin
78754,,Austin
78756,,Austin
78757,,Austin
78758,,Austin
79401,,Lubbock
79403,,Lubbock
79407,,Lubbock
79410,,Lubbock
79411,,Lubbock
79412,,Lubbock
79414,,Lubbock
79415,,Lubbock
79416,,Lubbock
79423,,Lubbock
79424,,Lubbock
,752,Dallas
,770,Houston
,782,San Antonio
,787,Austin
,794,Lubbock
